"ndc","rxcui","va"
"00093309456",724861,"CN809"
"00093310905",308191,"GA303"
"00093310905",308191,"AM111"
"00093310953",308191,"GA303"
"00093310953",308191,"AM111"
"00093312301",197595,"AM112"
"00093312501",197596,"AM112"
"00093313482",1149667,"HS200"
"00093314501",309112,"AM115"
"00093314505",309112,"AM115"
"00093314701",309114,"AM115"
"00093314705",309114,"AM115"
"00093316006",200346,"AM117"
"00093317431",2123072,"RE102"
"00093319601",309049,"AM115"
"00093319653",309049,"AM115"
"00093321201",197528,"CN302"
"00093321205",197528,"CN302"
"00093321301",197529,"CN302"
"00093321305",197529,"CN302"
"00093321915",203088,"DE102"
"00093321930",203088,"DE102"
"00093321992",203088,"DE102"
"00093322308",884707,"GU500"
"00093322308",884707,"HS300"
"00093323401",198232,"GA900"
"00093342001",828320,"MS200"
"00093342101",828299,"MS200"
"00093342201",828348,"MS200"
"00093342205",828348,"MS200"
"00093342210",828348,"MS200"
"00093342501",197900,"CN302"
"00093342505",197900,"CN302"
"00093342510",197900,"CN302"
"00093342601",197901,"CN302"
"00093342605",197901,"CN302"
"00093342610",197901,"CN302"
"00093342705",197902,"CN302"
"00093342910",314266,"DE820"
"00093342930",314266,"DE820"
"00093354143",310169,"GU500"
"00093354256",349591,"CN900"
"00093354356",349592,"CN900"
"00093354456",349593,"CN900"
"00093354556",349594,"CN900"
"00093354656",349595,"CN900"
"00093354856",608139,"CN900"
"00093356026",800915,"GA202"
"00093360782",1918209,"RE109"
"00093360882",1918194,"RE109"
"00093360982",1918203,"RE109"
"00093365740",904870,"CN101"
"00093365940",904876,"CN101"
"00093400062",1233850,"HS200"
"00093406701",312593,"CV150"
"00093406801",312594,"CV150"
"00093406901",198141,"CV150"
"00093412773",834040,"AM110"
"00093412774",834040,"AM110"
"00093413764",476576,"AM117"
"00093413773",476576,"AM117"
"00093414656",311286,"RE102"
"00093415580",239191,"AM111"
"00093416173",308189,"AM111"
"00093416176",308189,"AM111"
"00093416178",308189,"AM111"
"00093417573",309110,"AM115"
"00093417574",309110,"AM115"
"00093417773",309113,"AM115"
"00093417774",309113,"AM115"
"00093500256",999991,"CV400"
"00093500356",999986,"CV400"
"00093500456",1000001,"CV400"
"00093503056",1299911,"CN400"
"00093505610",617312,"CV350"
"00093505698",617312,"CV350"
"00093505705",259255,"CV350"
"00093505798",259255,"CV350"
"00093505810",617311,"CV350"
"00093505898",617311,"CV350"
"00093505910",617310,"CV350"
"00093505998",617310,"CV350"
"00093506001",995218,"AH105"
"00093506005",995218,"AH105"
"00093506101",995258,"AH105"
"00093506105",995258,"AH105"
"00093506110",995258,"AH105"
"00093506201",995281,"AH105"
"00093506205",995281,"AH105"
"00093520006",866090,"CN309"
"00093529201",1806193,"CN802"
"00093529601",1806187,"CN802"
"00093529701",1806189,"CN802"
"00093529801",1806191,"CN802"
"00093532862",1652084,"HS900"
"00093532862",1652084,"HS200"
"00093532862",1652084,"TN410"
"00093542088",199703,"AU900"
"00093545528",1359129,"HS900"
"00093553756",485440,"CN309"
"00093553801",485442,"CN309"
"00093553901",485465,"CN309"
"00093598527",727316,"AU100"
"00093598627",1870207,"AU100"
